model_kind,node_id,peer_node_id,flow_id,packets_sent,bytes_sent,packets_enqueued,packets_dropped,packets_forwarded,final_queue_occupancy_packets,final_queue_occupancy_bytes,packets_received,bytes_received,final_time_ns
source,1,,4,10,10000,0,0,0,0,0,0,0,1000000
source,1,,6,10,10000,0,0,0,0,0,0,0,1000000
source,1,,7,10,10000,0,0,0,0,0,0,0,1000000
source,4,,2,10,10000,0,0,0,0,0,0,0,1000000
source,4,,3,10,10000,0,0,0,0,0,0,0,1000000
source,6,,0,10,10000,0,0,0,0,0,0,0,1000000
source,6,,1,10,10000,0,0,0,0,0,0,0,1000000
source,6,,5,10,10000,0,0,0,0,0,0,0,1000000
switch,0,,,0,30000,0,0,30,0,0,0,0,932000
switch,1,,,0,30000,0,0,30,0,0,0,0,900000
switch,2,,,0,10000,0,0,10,0,0,0,0,932000
switch,3,,,0,20000,0,0,20,0,0,0,0,940000
switch,4,,,0,40000,0,0,40,0,0,0,0,948000
switch,5,,,0,0,0,0,0,0,0,0,0,0
switch,6,,,0,30000,0,0,30,0,0,0,0,900000
switch,7,,,0,0,0,0,0,0,0,0,0,0
switch,8,,,0,20000,0,0,20,0,0,0,0,924000
switch,9,,,0,20000,0,0,20,0,0,0,0,916000
switch,10,,,0,10000,0,0,10,0,0,0,0,924000
switch,11,,,0,20000,0,0,20,0,0,0,0,932000
switch,12,,,0,20000,0,0,20,0,0,0,0,940000
switch,13,,,0,20000,0,0,20,0,0,0,0,916000
switch,14,,,0,30000,0,0,30,0,0,0,0,924000
switch,15,,,0,0,0,0,0,0,0,0,0,0
switch,16,,,0,40000,0,0,40,0,0,0,0,932000
switch,17,,,0,0,0,0,0,0,0,0,0,0
switch,18,,,0,20000,0,0,20,0,0,0,0,924000
switch,19,,,0,0,0,0,0,0,0,0,0,0
port,0,8,,0,0,0,0,0,0,0,0,0,0
port,0,9,,0,0,0,0,0,0,0,0,0,0
port,1,8,,0,0,10,0,10,0,0,0,0,908000
port,1,9,,0,0,20,0,20,0,0,0,0,916000
port,2,10,,0,0,0,0,0,0,0,0,0,0
port,2,11,,0,0,0,0,0,0,0,0,0,0
